season,week,team,attempts,carries,passing_yards,rushing_yards,receiving_yards,total_plays,pass_rate,total_yards,yards_per_play,pass_yards_per_play,rush_yards_per_play
2024,10,BAL,33,25,290.0,99.0,290.0,58,0.5689655172413793,679.0,11.706896551724139,8.787878787878787,3.96
2024,10,BUF,37,31,280.0,135.0,280.0,68,0.5441176470588235,695.0,10.220588235294118,7.5675675675675675,4.354838709677419
2024,10,CAR,25,32,126.0,188.0,126.0,57,0.43859649122807015,440.0,7.719298245614035,5.04,5.875
2024,10,CHI,30,20,120.0,73.0,120.0,50,0.6,313.0,6.26,4.0,3.65
2024,10,CIN,56,16,428.0,49.0,428.0,72,0.7777777777777778,905.0,12.569444444444445,7.642857142857143,3.0625
2024,10,DAL,29,24,66.0,97.0,66.0,53,0.5471698113207547,229.0,4.320754716981132,2.2758620689655173,4.041666666666667
2024,10,DEN,30,23,215.0,78.0,215.0,53,0.5660377358490566,508.0,9.584905660377359,7.166666666666667,3.391304347826087
2024,10,DET,30,32,240.0,105.0,240.0,62,0.4838709677419355,585.0,9.435483870967742,8.0,3.28125
2024,10,HOU,33,28,232.0,56.0,232.0,61,0.5409836065573771,520.0,8.524590163934427,7.03030303030303,2.0
2024,10,IND,35,22,272.0,121.0,272.0,57,0.6140350877192983,665.0,11.666666666666666,7.771428571428571,5.5
2024,10,JAX,22,18,111.0,56.0,111.0,40,0.55,278.0,6.95,5.045454545454546,3.111111111111111
2024,10,KC,42,19,266.0,57.0,266.0,61,0.6885245901639344,589.0,9.655737704918034,6.333333333333333,3.0
2024,10,LA,46,18,293.0,70.0,293.0,64,0.71875,656.0,10.25,6.369565217391305,3.888888888888889
2024,10,LAC,18,39,164.0,145.0,164.0,57,0.3157894736842105,473.0,8.298245614035087,9.11111111111111,3.717948717948718
2024,10,MIA,28,22,207.0,67.0,207.0,50,0.56,481.0,9.62,7.392857142857143,3.0454545454545454
2024,10,MIN,38,43,241.0,169.0,241.0,81,0.4691358024691358,651.0,8.037037037037036,6.342105263157895,3.9302325581395348
2024,10,NE,25,35,184.0,144.0,184.0,60,0.4166666666666667,512.0,8.533333333333333,7.36,4.114285714285714
2024,10,NO,25,27,269.0,96.0,269.0,52,0.4807692307692308,634.0,12.192307692307692,10.76,3.5555555555555554
2024,10,NYG,37,34,190.0,167.0,190.0,71,0.5211267605633803,547.0,7.704225352112676,5.135135135135135,4.911764705882353
2024,10,NYJ,35,17,151.0,79.0,151.0,52,0.6730769230769231,381.0,7.326923076923077,4.314285714285714,4.647058823529412
2024,10,PHI,22,38,207.0,187.0,207.0,60,0.36666666666666664,601.0,10.016666666666667,9.409090909090908,4.921052631578948
2024,10,PIT,28,43,195.0,140.0,195.0,71,0.39436619718309857,530.0,7.464788732394366,6.964285714285714,3.255813953488372
2024,10,SF,36,22,353.0,75.0,353.0,58,0.6206896551724138,781.0,13.46551724137931,9.805555555555555,3.409090909090909
2024,10,TB,29,27,116.0,110.0,116.0,56,0.5178571428571429,342.0,6.107142857142857,4.0,4.074074074074074
2024,10,TEN,23,21,175.0,132.0,175.0,44,0.5227272727272727,482.0,10.954545454545455,7.608695652173913,6.285714285714286
2024,10,WAS,34,22,202.0,60.0,202.0,56,0.6071428571428571,464.0,8.285714285714286,5.9411764705882355,2.727272727272727
2024,11,ATL,31,21,197.0,50.0,197.0,52,0.5961538461538461,444.0,8.538461538461538,6.354838709677419,2.380952380952381
2024,11,BAL,33,19,207.0,124.0,202.0,52,0.6346153846153846,533.0,10.25,6.2727272727272725,6.526315789473684
2024,11,BUF,40,31,262.0,104.0,262.0,71,0.5633802816901409,628.0,8.845070422535212,6.55,3.3548387096774195
2024,11,CHI,31,34,231.0,179.0,231.0,65,0.47692307692307695,641.0,9.861538461538462,7.451612903225806,5.264705882352941
2024,11,CIN,50,25,356.0,110.0,356.0,75,0.6666666666666666,822.0,10.96,7.12,4.4
2024,11,CLE,47,20,395.0,66.0,395.0,67,0.7014925373134329,856.0,12.776119402985074,8.404255319148936,3.3
2024,11,DAL,55,18,354.0,64.0,354.0,73,0.7534246575342466,772.0,10.575342465753424,6.4363636363636365,3.5555555555555554
2024,11,DEN,33,24,307.0,103.0,309.0,57,0.5789473684210527,719.0,12.614035087719298,9.303030303030303,4.291666666666667
2024,11,DET,33,43,449.0,196.0,449.0,76,0.4342105263157895,1094.0,14.394736842105264,13.606060606060606,4.558139534883721
2024,11,GB,17,25,261.0,106.0,261.0,42,0.40476190476190477,628.0,14.952380952380953,15.352941176470589,4.24
2024,11,HOU,34,25,257.0,141.0,257.0,59,0.576271186440678,655.0,11.101694915254237,7.5588235294117645,5.64
2024,11,IND,30,35,272.0,91.0,272.0,65,0.46153846153846156,635.0,9.76923076923077,9.066666666666666,2.6
2024,11,JAX,29,17,138.0,41.0,138.0,46,0.6304347826086957,317.0,6.891304347826087,4.758620689655173,2.411764705882353
2024,11,KC,33,17,196.0,78.0,191.0,50,0.66,465.0,9.3,5.9393939393939394,4.588235294117647
2024,11,LA,27,24,295.0,107.0,295.0,51,0.5294117647058824,697.0,13.666666666666666,10.925925925925926,4.458333333333333
2024,11,LAC,36,25,297.0,155.0,297.0,61,0.5901639344262295,749.0,12.278688524590164,8.25,6.2
2024,11,LV,43,16,282.0,60.0,282.0,59,0.7288135593220338,624.0,10.576271186440678,6.558139534883721,3.75
2024,11,MIA,36,26,288.0,82.0,288.0,62,0.5806451612903226,658.0,10.612903225806452,8.0,3.1538461538461537
2024,11,MIN,32,33,246.0,82.0,246.0,65,0.49230769230769234,574.0,8.830769230769231,7.6875,2.484848484848485
2024,11,NE,39,29,282.0,120.0,278.0,68,0.5735294117647058,680.0,10.0,7.230769230769231,4.137931034482759
2024,11,NO,29,28,266.0,214.0,266.0,57,0.5087719298245614,746.0,13.087719298245615,9.172413793103448,7.642857142857143
2024,11,NYJ,29,20,184.0,91.0,184.0,49,0.5918367346938775,459.0,9.36734693877551,6.344827586206897,4.55
