game_id,home_team,away_team,spread_line,total_line,week,home_favorite,implied_home_score,implied_away_score
2024_16_SF_MIA,MIA,SF,-2.0,44.0,16,True,21.0,23.0
2024_16_TB_DAL,DAL,TB,-4.5,47.5,16,True,21.5,26.0
2024_16_NO_GB,GB,NO,14.0,44.0,16,False,29.0,15.0
2024_17_KC_PIT,PIT,KC,-3.0,43.5,17,True,20.25,23.25
2024_17_BAL_HOU,HOU,BAL,-5.5,46.5,17,True,20.5,26.0
2024_17_SEA_CHI,CHI,SEA,-3.5,43.5,17,True,20.0,23.5
2024_17_LAC_NE,NE,LAC,-6.0,42.0,17,True,18.0,24.0
2024_17_DEN_CIN,CIN,DEN,3.5,50.5,17,False,27.0,23.5
2024_17_ARI_LA,LA,ARI,6.5,48.0,17,False,27.25,20.75
2024_17_NYJ_BUF,BUF,NYJ,10.0,44.5,17,False,27.25,17.25
2024_17_TEN_JAX,JAX,TEN,-1.0,38.0,17,True,18.5,19.5
2024_17_LV_NO,NO,LV,-2.0,37.5,17,True,17.75,19.75
2024_17_IND_NYG,NYG,IND,-7.5,40.5,17,True,16.5,24.0
2024_17_DAL_PHI,PHI,DAL,7.5,37.5,17,False,22.5,15.0
2024_17_CAR_TB,TB,CAR,9.5,47.5,17,False,28.5,19.0
2024_17_MIA_CLE,CLE,MIA,-3.0,32.5,17,True,14.75,17.75
2024_17_GB_MIN,MIN,GB,-1.0,49.0,17,True,24.0,25.0
2024_17_ATL_WAS,WAS,ATL,3.5,46.5,17,False,25.0,21.5
2024_17_DET_SF,SF,DET,-4.0,50.5,17,True,23.25,27.25
2024_18_CLE_BAL,BAL,CLE,19.5,42.5,18,False,31.0,11.5
2024_18_CIN_PIT,PIT,CIN,-2.5,48.5,18,True,23.0,25.5
2024_18_CAR_ATL,ATL,CAR,7.5,48.5,18,False,28.0,20.5
2024_18_WAS_DAL,DAL,WAS,-7.0,43.5,18,True,18.25,25.25
2024_18_CHI_GB,GB,CHI,10.0,41.5,18,False,25.75,15.75
2024_18_JAX_IND,IND,JAX,3.5,45.5,18,False,24.5,21.0
2024_18_BUF_NE,NE,BUF,-3.0,36.5,18,True,16.75,19.75
2024_18_NYG_PHI,PHI,NYG,3.0,36.5,18,False,19.75,16.75
2024_18_NO_TB,TB,NO,14.5,44.5,18,False,29.5,15.0
2024_18_HOU_TEN,TEN,HOU,2.5,36.5,18,False,19.5,17.0
2024_18_SF_ARI,ARI,SF,4.5,42.5,18,False,23.5,19.0
2024_18_KC_DEN,DEN,KC,10.5,40.5,18,False,25.5,15.0
2024_18_SEA_LA,LA,SEA,-7.5,38.5,18,True,15.5,23.0
2024_18_LAC_LV,LV,LAC,-7.0,42.5,18,True,17.75,24.75
2024_18_MIA_NYJ,NYJ,MIA,1.5,39.5,18,False,20.5,19.0
2024_18_MIN_DET,DET,MIN,3.0,56.5,18,False,29.75,26.75
2024_19_LAC_HOU,HOU,LAC,-3.0,41.5,19,True,19.25,22.25
2024_19_PIT_BAL,BAL,PIT,9.5,44.5,19,False,27.0,17.5
2024_19_DEN_BUF,BUF,DEN,7.5,48.5,19,False,28.0,20.5
2024_19_GB_PHI,PHI,GB,5.5,45.5,19,False,25.5,20.0
2024_19_WAS_TB,TB,WAS,3.0,51.5,19,False,27.25,24.25
2024_19_MIN_LA,LA,MIN,-2.5,47.5,19,True,22.5,25.0
2024_20_HOU_KC,KC,HOU,9.5,41.5,20,False,25.5,16.0
2024_20_WAS_DET,DET,WAS,8.5,55.5,20,False,32.0,23.5
2024_20_LA_PHI,PHI,LA,7.0,43.5,20,False,25.25,18.25
2024_20_BAL_BUF,BUF,BAL,-1.5,51.5,20,True,25.0,26.5
2024_21_WAS_PHI,PHI,WAS,6.0,46.5,21,False,26.25,20.25
2024_21_BUF_KC,KC,BUF,1.5,49.5,21,False,25.5,24.0
2024_22_KC_PHI,PHI,KC,-1.5,48.5,22,True,23.5,25.0
